name,phone,role,email,ID
"Viktor Nikolov",88865016,"8A","viktor.nikolov.8a@student.hbschool.bg",293
"Dimitar Vasilev",88867010,"8C","dimitar.vasilev.8c@student.hbschool.bg",319
"Filip Ivanov",88868004,"8D","filip.ivanov.8d@student.hbschool.bg",341
"Maria Hristova",88965015,"9A","maria.hristova.9a@student.hbschool.bg",364
"Viktor Georgiev",88966012,"9B","viktor.georgiev.9b@student.hbschool.bg",394
"Petya Todorova",88967013,"9C","petya.todorova.9c@student.hbschool.bg",408
"Olga Petrova",88968015,"9D","olga.petrova.9d@student.hbschool.bg",429
"Nikola Kostov",881065006,"10A","nikola.kostov.10a@student.hbschool.bg",447
"Pavel Ivanov",881066018,"10B","pavel.ivanov.10b@student.hbschool.bg",468
"Oksana Stefanova",881067019,"10C","oksana.stefanova.10c@student.hbschool.bg",487
"Plamen Petkov",881068016,"10D","plamen.petkov.10d@student.hbschool.bg",509
"Olga Ivanova",881165017,"11A","olga.ivanova.11a@student.hbschool.bg",530
"Zlatka Stoyanova",881165013,"11A","zlatka.stoyanova.11a@student.hbschool.bg",535
"Maria Vasileva",881167017,"11C","maria.vasileva.11c@student.hbschool.bg",558
"Stefan Petkov",881167004,"11C","stefan.petkov.11c@student.hbschool.bg",571
"Tanya Nikolova",881168011,"11D","tanya.nikolova.11d@student.hbschool.bg",592
"Daniela Hristova",881265001,"12A","daniela.hristova.12a@student.hbschool.bg",599
"Irina Georgieva",881266015,"12B","irina.georgieva.12b@student.hbschool.bg",622
"Milena Todorova",881266009,"12B","milena.todorova.12b@student.hbschool.bg",626
"Milena Hristova",881267013,"12C","milena.hristova.12c@student.hbschool.bg",649
"Simeon Petkov",881268020,"12D","simeon.petkov.12d@student.hbschool.bg",667
